unique_book_id,published_year,book_id,published_by,available
655583,1902-11-30,492299,Gonzalez-Burnett,Available
786655,1934-11-07,673253,Baker-Payne,Available
393441,1921-06-22,17739,"Adkins, Baldwin and Rodriguez",Unavailable
262371,2022-04-06,232664,Jones Ltd,Unavailable
655590,1934-11-07,74345,Freeman-Long,Unavailable
262375,1944-11-03,38254,Mitchell and Sons,Available
393450,1913-10-20,215012,Bowman Inc,Unavailable
131309,1988-01-23,368066,Ward-Moreno,Available
917743,2004-11-17,151983,"Clark, Jimenez and Aguilar",Available
655602,1915-02-20,62295,Conrad-Dickson,Available
655605,2000-06-26,131643,Scott-Carney,Unavailable
262393,1979-05-13,704651,"Matthews, Pittman and Acevedo",Unavailable
655611,1923-06-12,845740,Vaughn Ltd,Available
917759,1901-01-21,78439,Long LLC,Unavailable
917762,1955-01-20,85355,Marshall-Sherman,Available
393478,1925-01-01,985004,Salas-Fisher,Unavailable
131338,1904-08-27,733544,Crawford-Carpenter,Available
655631,2004-03-06,271014,Gutierrez Ltd,Unavailable
262419,1989-02-01,739283,Wilson-Rodriguez,Available
655642,1987-12-31,484160,Travis Ltd,Available
284,1962-10-27,852238,"Foster, Mills and Elliott",Available
655647,1960-06-02,763688,Gonzalez-Carter,Unavailable
393504,1989-11-23,354671,Watts-Jimenez,Unavailable
393505,1950-07-11,328918,Mitchell-Robles,Unavailable
292,2008-01-22,538339,Miller and Sons,Available
917798,1940-11-11,912615,Parks Group,Available
655654,1963-06-27,897783,Carr Ltd,Available
786732,1939-08-12,730,"Barry, Avila and Thomas",Available
131388,1930-08-24,162472,Mosley-Bennett,Available
131395,1963-09-09,381328,Stewart Inc,Unavailable
655684,1944-01-11,247596,Sullivan Inc,Available
131400,1910-11-10,442353,Steele-Blair,Unavailable
330,1997-11-20,696882,"Myers, Smith and Salazar",Available
131404,1973-04-02,269098,Gregory-Mullins,Available
524620,2008-04-01,999267,"Strong, Murphy and Sanders",Available
917840,1921-04-11,25371,"Waller, Oconnor and Foster",Available
917844,1936-01-02,618079,"Berry, Davis and Gray",Unavailable
655703,1953-04-02,150996,Garcia-Avery,Unavailable
786778,1937-01-29,549758,Kim-Diaz,Available
917853,1971-07-27,116589,Stephens Ltd,Unavailable
524640,2021-04-16,147428,Campbell-Johnson,Available
354,1992-11-22,634071,Alvarado LLC,Available
917859,1956-03-21,142066,Potts-Hall,Unavailable
655715,1928-02-14,515447,Fisher-Serrano,Available
131437,2009-10-01,303431,Miller LLC,Available
262510,1967-08-15,405089,"Powell, Harris and Kerr",Available
655732,1900-07-22,652649,Jackson-Hernandez,Available
917879,1963-10-07,876264,Roman PLC,Unavailable
917890,2014-12-29,334227,"Johnson, Ramos and Norman",Unavailable
917903,1979-04-29,41327,"Mills, Cortez and Medina",Unavailable
917904,1987-07-30,882487,"Mcdaniel, Casey and Klein",Unavailable
655759,2020-06-08,411786,"Warren, Mcgee and Jackson",Unavailable
131475,1907-02-18,522179,Ray-Woodard,Available
524692,1930-03-18,681889,"Gardner, Thompson and Munoz",Available
262555,1952-11-09,583530,Payne LLC,Unavailable
655773,1918-04-27,590871,Warren Group,Available
262558,1902-11-08,488981,Rogers-Blanchard,Available
655777,1954-06-19,779068,"Martinez, Sanders and Anderson",Unavailable
655778,1980-06-17,231145,Hickman PLC,Unavailable
420,1972-07-06,17864,Savage PLC,Available
262565,2002-01-25,927831,Lewis-Henderson,Unavailable
524709,1988-10-22,524627,"Russell, Griffin and Allen",Unavailable
426,1971-09-21,687049,Davis-Monroe,Available
655794,2017-04-08,632769,Jenkins Group,Unavailable
435,1947-02-11,463974,Parker-Taylor,Available
393653,1991-06-12,24698,Morales PLC,Unavailable
655798,2005-05-01,458971,Davis PLC,Unavailable
917941,1940-08-08,886749,Cooper-Mitchell,Available
655805,2015-04-22,161736,Stephens Ltd,Unavailable
393662,1973-06-12,220311,Snow Inc,Unavailable
447,1984-08-27,864459,"Lara, Mitchell and Ruiz",Unavailable
449,2018-11-24,478719,Green-Kane,Unavailable
131524,2008-08-17,836079,"Lamb, Brown and Graves",Available
262597,2015-02-20,24481,Gibson Group,Unavailable
917958,2021-07-11,898569,"Wood, Mcneil and Williams",Available
786888,2019-10-07,802426,"Buchanan, Neal and Taylor",Available
786890,1932-02-04,972516,Little-Burgess,Available
458,1914-01-31,425171,Smith-Vasquez,Available
786892,1919-06-15,117086,Chen-Lee,Available
393680,1904-01-22,765048,"Murphy, Johnson and Harvey",Available
655824,1909-06-03,702329,Simpson-Benjamin,Unavailable
262610,1905-05-23,658054,Luna-Edwards,Available
524758,1900-12-31,220217,Ray Inc,Available
262625,1987-10-25,727670,"Mathews, Bishop and Clark",Unavailable
786913,1965-12-09,211216,Martinez LLC,Available
483,1945-07-25,951876,"Miles, Davis and Davis",Available
485,1907-07-26,22276,"Stevenson, Lane and Gonzales",Unavailable
131561,1987-02-24,953983,Logan Group,Available
917993,1941-09-01,546401,Key-Peters,Unavailable
131563,1965-05-08,389490,Bates LLC,Available
918006,2007-11-14,512505,Marsh and Sons,Unavailable
918007,2009-09-12,855804,Hill LLC,Available
262650,1904-08-16,694100,"Garza, Robertson and Gordon",Available
524795,2007-07-31,241190,Flowers-Hall,Available
393725,1961-12-11,760474,Carpenter Ltd,Unavailable
393727,2000-03-22,850579,Powers-Curtis,Unavailable
131587,1926-10-29,736033,Johnson-Sherman,Unavailable
262660,1992-11-14,733668,Wyatt-Knox,Available
393733,2010-09-18,749697,Russell-Pittman,Unavailable
655878,1994-09-04,152852,Williams LLC,Available
262666,1991-10-07,112972,"Cooper, Gill and Hess",Available
523,1930-08-15,288883,Stokes PLC,Available
262670,1909-06-18,294358,James LLC,Unavailable
655887,1961-01-27,815258,"Nelson, Ayala and Costa",Available
655886,2008-02-16,696610,"Williams, Wu and Miller",Unavailable
528,1979-05-01,190808,Harris Inc,Unavailable
786962,1981-03-18,623551,Kemp-Miller,Available
262675,2003-11-14,13864,"Perkins, Reese and Rodgers",Available
524814,1981-11-30,531351,Turner-Mccoy,Available
393742,1984-04-22,440209,Obrien and Sons,Available
918041,1946-09-01,1400,Turner and Sons,Available
262682,2010-07-22,313879,Jones-Garner,Available
655902,1980-07-02,87818,Romero-Briggs,Unavailable
393759,1922-09-25,905121,Adams-Hickman,Available
393768,1967-03-17,178005,"Jenkins, Owens and Fuller",Unavailable
555,1987-08-28,302332,"Arnold, Poole and Reese",Unavailable
918059,2003-03-11,855328,"Gonzalez, Garcia and Saunders",Available
262701,1964-06-30,247420,Aguilar-Terry,Unavailable
262702,1930-04-04,831438,"Cooper, Torres and Reynolds",Available
393777,2006-11-02,249485,"Cox, Ayala and Alexander",Available
563,1948-08-24,430392,Schwartz PLC,Unavailable
262709,1959-07-07,184588,Garcia-Snow,Unavailable
655931,1999-10-24,515230,Baker Ltd,Unavailable
131646,1909-04-16,384143,"Berry, Hall and Smith",Available
655937,1927-09-07,902883,"Webster, Owens and Jones",Available
578,1937-04-27,700459,Santiago LLC,Unavailable
918081,1930-08-01,363436,Atkinson-Bowen,Unavailable
918084,1909-06-30,479322,"Castillo, Brown and Turner",Available
393797,1972-08-30,178023,Gonzalez Ltd,Unavailable
918086,1982-11-09,809234,Cooper PLC,Available
591,1911-05-23,839089,Pope PLC,Available
918097,1953-09-12,492299,"Dunn, Murray and Mclaughlin",Unavailable
524894,1997-03-27,163933,"Ramsey, White and Smith",Available
787039,1935-09-25,264232,Atkinson-Harris,Unavailable
609,1997-11-22,744468,Hobbs Inc,Unavailable
262755,1927-12-08,366802,Price-Lynn,Available
524901,1915-04-26,987424,"Bates, Hammond and Wall",Available
393829,2014-05-16,778200,"Scott, Ford and Nguyen",Available
262761,1929-11-30,647870,Henderson-Gomez,Available
622,1965-12-22,632792,"Thompson, Macdonald and Webster",Unavailable
524913,1971-02-04,522190,Drake-Cunningham,Unavailable
524914,2019-08-27,813010,Sosa-Gray,Unavailable
918137,1968-05-04,281455,Patrick-Stevens,Unavailable
131710,2002-08-11,803436,Rubio Ltd,Unavailable
640,2007-05-13,223592,Jordan Group,Available
787073,1903-03-29,265703,Mcconnell Ltd,Unavailable
262789,1994-01-10,11195,Williams PLC,Unavailable
787077,1922-01-24,48261,"Carrillo, Alexander and James",Unavailable
646,1971-03-01,64646,"Perkins, Padilla and Moore",Unavailable
918154,1917-01-09,355456,Murphy Ltd,Available
656010,2003-08-01,801023,"Gordon, Potts and Bates",Unavailable
393868,1974-05-23,160599,"Whitehead, Garcia and Odonnell",Available
656014,1961-07-02,167,Oliver-Griffith,Unavailable
656018,1956-06-06,502684,Combs and Sons,Available
918170,1929-09-20,767290,Fox Inc,Available
262812,1930-07-14,760417,"Miller, Petersen and Johnson",Unavailable
393886,1963-08-11,402109,"Miller, Reynolds and Fowler",Available
671,1944-02-21,255810,Williams-Griffith,Unavailable
393888,2013-06-27,507254,"Porter, Steele and Johnson",Unavailable
787107,1989-07-05,631397,Reyes PLC,Unavailable
131747,1986-12-21,712641,"Horton, Williamson and Garcia",Unavailable
393899,1984-04-26,802956,"Morales, Daniels and Fletcher",Unavailable
393902,1999-12-07,19890,Nguyen-Miller,Unavailable
686,1972-04-10,364539,Kerr PLC,Unavailable
131761,2010-02-16,131643,Collins-Wallace,Unavailable
787123,2019-02-05,645083,Fitzgerald-Hayes,Available
393913,2006-11-02,300313,Merritt Ltd,Available
656058,1924-01-10,276445,Harris-Riley,Available
656060,1968-02-12,993832,Lucero-Johnson,Available
524994,1909-06-17,630688,Lopez-Shah,Unavailable
393924,1941-06-22,327087,Olson PLC,Available
787141,1955-09-03,203238,White Ltd,Available
656071,1929-06-25,629833,"Osborn, Cuevas and Olson",Unavailable
393931,1903-04-12,204419,Ross-Anderson,Unavailable
787147,1961-05-22,976940,"Johnson, Phillips and Johnson",Unavailable
918224,1964-12-27,231145,"Thomas, Whitehead and Ryan",Available
393936,1969-04-23,39784,Pearson and Sons,Available
393939,1925-01-17,478676,Estrada PLC,Unavailable
727,1961-05-24,350984,Sullivan-Martin,Available
525017,1981-12-28,328592,Watson-Reid,Unavailable
393947,1917-04-11,632470,"Sanford, Wells and Vaughn",Unavailable
262876,1942-07-08,772001,Garner LLC,Available
787165,1999-05-24,56442,Dalton Group,Available
734,1902-06-22,596385,Kent-Monroe,Available
525023,1947-07-06,521789,Davis Ltd,Unavailable
262879,1917-08-19,741543,Morales-Solis,Available
918243,2006-01-11,999267,Butler-Rodgers,Available
393956,1997-03-17,655031,Lozano Group,Available
393958,1926-07-06,907563,"Norris, Larsen and Burton",Available
131832,2017-01-22,370662,Schmidt Inc,Available
131833,2008-09-20,446119,Fernandez-Mills,Available
131834,1934-11-06,875583,Brown-Carlson,Unavailable
656130,1947-03-15,470022,"Schmidt, Richards and Barrett",Unavailable
656131,1963-06-25,96031,Moore-Ortiz,Unavailable
772,1926-02-18,89555,Wagner Group,Unavailable
131844,1958-05-10,176669,Brown Ltd,Available
525068,2019-08-16,28694,"Larson, Oliver and Weaver",Unavailable
131854,1921-08-12,482167,"Valenzuela, Ayala and Mccarty",Unavailable
262928,1972-08-23,502494,Rodriguez-Ruiz,Available
787216,1958-07-01,162651,Myers-Hines,Unavailable
656148,2019-01-24,299823,Shelton and Sons,Available
131863,1955-11-12,219587,Matthews-Garcia,Unavailable
918305,1923-05-18,472231,Hall-Mason,Unavailable
656162,1998-01-15,948391,Patterson Ltd,Available
131876,2017-07-04,13161,Rice-Myers,Available
918310,1960-05-14,518044,Smith-Dixon,Available
262951,1903-12-18,122721,Archer LLC,Available
525096,1924-02-02,315177,Suarez and Sons,Unavailable
918311,2017-03-31,145346,Bauer-Carter,Unavailable
131882,1920-02-02,574742,Hammond LLC,Available
810,2015-09-15,671092,Stevens-Johnson,Unavailable
525100,1915-01-01,673871,Caldwell-Duffy,Available
814,1979-08-02,3309,Sanchez PLC,Unavailable
525103,1908-10-01,739854,Stephenson-Macias,Unavailable
818,1933-07-22,267263,Woods LLC,Unavailable
918327,1971-05-05,836387,Torres-Rocha,Available
394039,1904-01-12,80913,Tucker-King,Available
131913,1954-05-09,238916,Palmer-George,Unavailable
131914,1948-12-16,341299,Massey PLC,Available
525133,1975-11-03,777428,Hill-Haney,Unavailable
262995,1929-10-19,493032,Berg LLC,Available
656212,1916-06-21,83357,Collins-Parrish,Available
656213,1914-12-21,361674,"White, Oneal and Velasquez",Available
262996,1900-01-30,470849,Adams Ltd,Unavailable
856,1910-09-03,24372,"Young, Brown and Conway",Available
263002,2010-08-05,521802,Lee Group,Available
861,1943-05-01,851931,Hall Ltd,Unavailable
867,1982-01-07,407044,Williams PLC,Unavailable
869,1930-02-06,303194,"Robles, Miller and Lewis",Unavailable
656232,1935-01-21,77734,"Mathews, Cain and Hernandez",Available
787305,2001-06-01,676339,Avila and Sons,Available
394090,1966-04-27,101177,Conrad Group,Available
787321,1951-02-04,928112,"Saunders, Sanders and Brandt",Unavailable
525178,2005-11-30,596385,"Smith, Chavez and Hanson",Available
525180,1966-12-11,943479,Hudson Group,Unavailable
656254,1921-08-10,741034,Soto-Jackson,Available
787333,1902-07-21,542292,Rodriguez-Garcia,Available
656262,1982-05-08,631699,Lucas-Hutchinson,Available
394122,2021-11-14,771211,"Russell, Cook and Jones",Unavailable
918410,1946-07-10,561604,"Russell, Rogers and Richardson",Available
131982,1906-09-13,669807,"Graham, Thompson and Chapman",Available
913,1966-12-11,952775,"Rodriguez, Page and Hughes",Unavailable
918417,1971-06-15,572219,"Grant, Gonzalez and Romero",Available
916,1964-01-10,949625,Gutierrez and Sons,Available
394135,1906-04-05,423069,"Hill, Warren and Perez",Unavailable
131998,1959-03-06,74850,Williams-Koch,Available
131999,1930-01-16,523433,Allen-Hicks,Unavailable
929,2012-03-27,290119,Hansen Group,Available
525222,2015-05-10,881603,Jackson-Harris,Unavailable
787367,1943-06-13,101989,Brown-Pena,Available
936,1936-10-25,191206,Kelley and Sons,Available
918441,1955-03-01,340680,Good LLC,Unavailable
787369,1923-10-03,669358,Williams-Gonzalez,Available
263087,2022-06-28,777739,Reyes Ltd,Unavailable
394162,1920-06-01,188704,Vasquez-Foster,Unavailable
263092,1939-08-10,85850,"Chapman, Lambert and King",Available
656311,1960-09-14,553826,"Webb, Lewis and Gomez",Unavailable
132024,1946-07-14,107968,Roberts-Melendez,Unavailable
656313,1990-07-29,502125,"Ochoa, Edwards and Williams",Unavailable
787385,1981-04-09,814086,"Henderson, Webb and Hall",Available
656315,1951-05-05,600381,Maynard and Sons,Available
787390,1985-01-16,994830,Leach Group,Unavailable
787391,1902-02-22,495118,"Kaiser, Villanueva and Mosley",Unavailable
263103,2011-06-16,133581,Alvarez Ltd,Available
656323,1932-06-29,862502,Young-Sharp,Unavailable
656326,1908-01-05,14909,Jones PLC,Unavailable
918476,1993-04-20,327224,Brewer-Fletcher,Unavailable
656338,1961-05-03,604479,Ramirez-Schmidt,Unavailable
656344,1910-07-06,269258,Lane-Rose,Unavailable
918491,1944-03-25,334774,Ramirez-Miller,Available
132065,1903-12-29,785327,"Henderson, Wood and White",Available
263147,1990-09-19,189712,"Davis, Wolf and Ford",Unavailable
1006,1947-06-17,10652,"Harmon, Fischer and Robles",Unavailable
787438,1905-02-21,931843,Best PLC,Unavailable
525299,1958-07-08,382548,Wright PLC,Available
263157,1961-11-10,633753,"Warren, Cooper and Powell",Unavailable
263159,1980-03-24,571356,"Dyer, Logan and Meyer",Unavailable
1021,1965-08-04,12877,"Richard, Vasquez and Bond",Available
918536,1982-11-16,587360,"Hamilton, Taylor and Kim",Available
132104,1972-02-09,619528,Wilson Inc,Unavailable
1038,1959-10-23,298710,"Horn, Barker and Henderson",Available
394257,1968-06-02,927245,"Rojas, Lee and Ortega",Unavailable
394260,1934-12-13,77300,Day-Mann,Unavailable
1045,1973-12-15,980793,Phillips LLC,Unavailable
1049,1947-07-19,612139,Rogers LLC,Unavailable
132123,1905-10-18,706090,Ellison-Lawrence,Available
918556,1972-08-11,793492,"Perry, Zamora and Smith",Unavailable
1054,2004-06-08,701399,Blankenship-Clarke,Unavailable
656417,1902-02-27,863662,Moore-Nguyen,Unavailable
918562,1928-09-30,792432,"Phillips, Meadows and Henderson",Available
1060,1982-02-03,784126,"Green, Jarvis and Collier",Unavailable
918569,1994-07-29,12593,Gibbs Group,Available
132140,1926-04-12,706090,Crawford Inc,Unavailable
918573,1978-09-13,906773,"Page, Odonnell and Perez",Unavailable
1072,1907-07-05,248992,Anderson and Sons,Unavailable
787506,1931-07-26,432771,"Fletcher, Mathews and Jackson",Available
918580,1925-04-08,811551,Ortega Group,Unavailable
918581,1913-11-24,410795,West-Thompson,Unavailable
1080,1992-04-06,834571,"Ramirez, Flores and Miller",Available
1083,2016-12-10,809446,"Smith, Montes and Phillips",Available
787516,1966-06-19,816614,Taylor PLC,Unavailable
918590,1973-07-27,357163,Villegas-Mendoza,Available
656449,1986-12-28,964100,"Hunt, Chang and Curtis",Available
132165,1938-07-19,770001,"Huerta, Garrison and Richardson",Available
1093,1926-10-22,348424,Watson-Brock,Unavailable
263239,1903-09-08,302332,Mason-Bryant,Unavailable
1095,2011-08-30,249073,Grant-Clark,Available
918599,1962-06-20,995740,"Mcgee, Rodriguez and Guzman",Unavailable
1098,1916-03-18,276468,Russell PLC,Available
132171,2022-07-17,299711,Martinez-Dillon,Available
787532,1908-03-18,843875,"Bolton, Le and Little",Unavailable
1103,2003-03-01,986021,Harris Inc,Unavailable
394320,1970-02-10,333169,Bird LLC,Available
787539,1924-08-23,173420,Perez-Scott,Unavailable
787540,1975-11-25,257719,"Logan, Cunningham and Krause",Available
1110,1915-02-09,351976,"May, Wilson and Wilson",Available
132184,1952-11-27,483316,"Coleman, Bishop and Garcia",Available
132186,1979-04-02,782903,Howell Group,Unavailable
525404,1901-10-02,958823,Hamilton and Sons,Available
132189,1985-07-14,437677,Newton-Estrada,Unavailable
525407,1928-05-20,906392,"Williams, Dixon and Ortiz",Available
263264,1917-12-19,465542,Burton Inc,Available
394337,1942-07-16,411786,Figueroa-Richmond,Available
1120,1939-03-07,654624,Smith-Schwartz,Available
394343,1942-07-11,245337,Barrett PLC,Unavailable
525419,1918-08-02,937905,Lewis LLC,Available
394347,1933-03-19,391004,Graham-Hahn,Unavailable
525422,1965-12-28,979626,Wood LLC,Unavailable
525423,1969-02-21,681889,Salazar-Moore,Unavailable
918643,1966-12-01,635644,Obrien and Sons,Available
263284,1967-11-22,456055,Huerta-Moreno,Unavailable
263288,1960-02-16,408994,Perry-Thomas,Unavailable
394361,1999-09-30,560403,Ibarra and Sons,Unavailable
394366,1929-01-28,88200,"Hull, Randall and Walker",Available
656513,1914-12-10,21154,Walker and Sons,Available
787586,1925-11-15,313073,Bowen-Carson,Available
918657,1999-08-24,188039,Silva-Ruiz,Unavailable
1153,2014-06-17,434178,Lee-Marks,Available
263298,1947-09-17,168966,"Orr, Irwin and Crawford",Available
787592,2020-02-18,571882,Parrish-Carter,Unavailable
263305,1996-08-09,860294,Lowe PLC,Available
394386,2020-08-12,478676,Smith-Hatfield,Available
656540,2003-10-19,814679,"Peterson, Williams and Lawson",Unavailable
656541,1934-08-26,902270,Franklin-Faulkner,Available
918686,1970-02-03,974568,Lozano PLC,Available
525475,2004-02-06,508893,"Whitehead, Williams and Vasquez",Available
918692,1928-10-20,492288,Johnson Ltd,Available
787621,1915-12-11,52732,"Edwards, Powell and King",Available
132267,1906-10-27,774550,"Berry, Gray and Bates",Unavailable
394413,1993-01-02,974451,Jackson and Sons,Available
394414,1952-07-20,757162,"Collins, Collins and Hubbard",Unavailable
263344,1963-04-11,590492,Holt PLC,Unavailable
1203,1963-02-08,825152,Williams-Owens,Available
787641,1938-06-01,24758,Chambers-Harris,Available
132282,1949-11-24,840632,"Pearson, Buck and Johnson",Unavailable
1210,1913-01-09,537121,"Powell, Johnson and Kim",Available
263356,1950-08-24,178751,Kirk Inc,Unavailable
1212,1996-12-04,543911,"Thomas, Sutton and Wright",Unavailable
394431,1967-05-07,8959,"Miller, Payne and Bailey",Unavailable
656577,2007-09-29,117889,"Haney, Yang and Gonzalez",Available
525506,1963-08-18,318494,Morales-Martinez,Unavailable
263363,1922-04-04,685324,"Martin, Mason and White",Unavailable
787652,1957-12-12,426314,Roberts and Sons,Available
525511,1932-08-05,116589,"Simpson, Mann and Wilson",Available
525513,1934-12-09,739430,Church PLC,Available
263370,1984-05-14,602227,Evans PLC,Available
918732,1968-05-31,801023,"Mayer, Pitts and Cook",Available
1234,1972-02-14,823012,"Murphy, Goodman and Barron",Unavailable
525525,1932-04-24,39940,"Bell, Brady and Kelley",Available
918743,1989-11-22,126085,"Turner, Baker and White",Available
132311,1977-05-04,354407,Pacheco-Tucker,Unavailable
656601,2009-02-20,901047,"Matthews, Gordon and Ho",Available
918746,1952-07-07,493661,Wilkinson-Shaw,Unavailable
656603,2017-09-01,476354,Martinez-Nguyen,Unavailable
1242,2002-03-20,985320,Rowe PLC,Unavailable
1240,2010-10-16,695439,Reyes PLC,Unavailable
787681,1941-06-10,826606,Day Inc,Available
263393,1990-04-01,326585,Smith-Day,Unavailable
787688,1952-06-15,257231,Robbins Group,Unavailable
525549,1997-09-04,673650,Gentry-Pittman,Unavailable
132333,1981-06-02,515703,Jones-White,Available
394487,2019-04-26,113539,"Robinson, Simmons and Hamilton",Unavailable
918780,1970-09-12,17739,Douglas Ltd,Available
525572,1989-01-01,146823,Ramos-Baker,Available
132357,1971-10-07,620448,Hunt-Carter,Available
132367,2004-05-19,658852,Burns-Fields,Available
525585,1947-10-11,221202,Parker LLC,Available
132369,1905-06-26,744128,"Coleman, Harris and Holloway",Available
787731,2006-08-19,998364,Stephenson-Parker,Available
525592,1946-04-14,65303,"Wallace, Leblanc and Maynard",Unavailable
263450,1944-02-06,399369,Rodgers Group,Unavailable
918810,1995-06-27,740413,"Anderson, Warren and Baxter",Available
787743,1986-11-10,5881,"Farmer, Bullock and Grimes",Unavailable
656671,1997-03-20,964100,Hodges PLC,Unavailable
1321,1904-04-14,697114,Lopez-Brown,Available
525625,2004-12-01,485723,"Parrish, Mccormick and Lopez",Unavailable
263488,1982-11-18,675926,"Figueroa, Harrison and Boyd",Unavailable
263492,1977-10-11,607163,Clements Ltd,Available
1353,1971-01-13,52661,"Howe, Sutton and Moore",Available
656715,2001-01-29,954162,Hart-Buckley,Unavailable
132438,1977-09-23,626729,"Davis, Taylor and Murray",Available
787801,1987-02-07,625065,Mason-Knight,Available
656729,1925-07-29,446270,"Weeks, Miller and Parker",Available
918874,1961-04-10,530950,"Hall, Craig and Stevenson",Available
656732,1987-12-23,342728,"Ramsey, Fritz and Turner",Unavailable
132445,1937-06-07,92955,"Jones, Williams and Mcdaniel",Unavailable
394591,2008-07-24,71692,"Wagner, Allen and Cameron",Unavailable
525667,2014-01-21,469881,Sosa-Miller,Available
787824,1921-11-15,770170,Kaufman-Lopez,Available
1394,1997-07-02,885746,"Parker, Hampton and Jones",Unavailable
